FSC,NIIN,Nomenclature,part_number,cage_code,UI,Unit_Price,dss_weight,dss_cube,unit_pack_weight,unit_pack_cube,Imputed
5340,015750178,"BRACKET,ANGLE","17KP778, 0256020085-00","75Q65, 45152, 535V1",EA,376.65,0.068,0.261,0.068,0.261,Yes
5342,014793327,"MOUNT,RESILIENT,WEA",3274747,"45152, 75Q65",EA,27.55,0.162,0.009,0.162,0.009,No
5895,014807053,"CONSOLE,MESSAGE","3597645, 3535231, 3246283, 3382905, 3367359","75Q65, 1PWR4, 45152",EA,1647.47,0.74,0.065,0.74,0.065,No
5930,013195708,"SWITCH,PRESSURE","1749-2177, 1675420","58723, 45152, 75Q65",EA,11.73,0.1,0.002,0.1,0.002,No
5930,014469234,"SWITCH,PRESSURE","673345, 3205564, ETN/673345","72447, 45152, 75Q65, 52304, 64678",EA,103.77,0.033,0.006,0.033,0.006,No
5930,014791219,"SWITCH,BRAKE","SM-2B-3R/MP, SM-2B-3R/NPAU12, 2214320","85814, 75Q65, 45152",EA,21.08,0.192,0.007,0.192,0.007,No
5930,014791315,"SWITCH,STP,LGHT5PSI","3063009, SM-1A-5R/PP1071, S/B SP-1A-5R-PP59, SP-1A-5R/PP59","45152, 75Q65, 85814",EA,34.34,0.434,0.011,0.434,0.011,No
5930,015152492,"SWITCH,PRESSURE","SM-2B-40R/PPAU84, 3063011","75Q65, 85814, 45152",EA,29.36,0.24,0.012,0.24,0.012,No
5930,015352347,"SWITCH,PRESSURE",3478388,"45152, 75Q65",EA,48.53,0.15,0.018,0.15,0.018,No
5945,014730653,"RELAY,ELECTROMAGNET","26.56.08, 2091390, 3115401, 10706138-001","311K7, D1510, 45152, 56161, 75Q65",EA,192.46,1.44,0.054,1.44,0.054,No
6105,014793404,"MOTOR,DIRECT CURREN","015610224, 8HB961","5N978, 45152, 75Q65",EA,131.34,2.562,0.374,2.562,0.374,No
6105,014803980,"MOTOR ASSEMBLY,ELEC","9HB11, 403.411","75Q65, 82484, 45152",EA,190.32,2.6,0.065,2.6,0.065,No
6150,014804006,"WIRING HARNESS,BRAN","3322202, 3281346, 3462432","45152, 75Q65",EA,2315.46,19,1.386,19,1.386,No
6625,014745998,"TEST SET,INTERFACE","3246282, 3367358, 3368956, 3535230","1PWR4, 45152, 75Q65",EA,998.81,1.68,0.187,1.68,0.187,No
8105,015000175,"BAG,STORAGE,COVER","FG0002, 5HA373","56101, 75Q65, 45152",EA,36.28,2.04,0.099,2.04,0.099,No
2510,014800881,"SHOCK ABSORBER,DIRE","65498650T, 3253423","45152, 37492, 75Q65",EA,97.89,5.9,0.254,5.9,0.254,No
2540,014792018,"FRAME,SEAT,VEHICULA",3214506,"54979, 45152, 75Q65",EA,299.39,40,3.693,40,3.693,No
